User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail,Winrate
https://axie.zone//profile?ron_addr=0x2d252c8b44a87ddffa6963386066e1d5ac82a2ea,Plant,Sleepless,Nimo,Bidens,Zigzag,Pocky,Hot Butt,0
https://axie.zone//profile?ron_addr=0x2d252c8b44a87ddffa6963386066e1d5ac82a2ea,Bug,Sleepless,Larva,Sandal,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Aquatic,Clear,Inkling,Blue Moon,Cute Bunny,Arco,Nimo,0
https://axie.zone//profile?ron_addr=0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Beast,Little Owl,Curly,Hero,Cute Bunny,Dual Blade,Hare,0
https://axie.zone//profile?ron_addr=0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Dusk,Topaz,Leafy,Pumpkin,Cute Bunny,Leaf Bug,Hot Butt,0
https://axie.zone//profile?ron_addr=0x5dfb6be9840855aa9434459add58cdce967cb6b9,Bug,Clear,Tiny Fan,Garish Worm,Cute Bunny,Antenna,Pupae,0
https://axie.zone//profile?ron_addr=0x5dfb6be9840855aa9434459add58cdce967cb6b9,Bug,Chubby,Innocent Lamb,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x5dfb6be9840855aa9434459add58cdce967cb6b9,Plant,Papi,Rosa,Bidens,Zigzag,Antenna,Hatsune,0
https://axie.zone//profile?ron_addr=0xb01076b7e89027f41700ffb598626ca068329430,Plant,Confused,Lotus,Bidens,Serious,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0xb01076b7e89027f41700ffb598626ca068329430,Aquatic,Telescope,Bubblemaker,Turnip,Risky Fish,Dual Blade,Nimo,0
https://axie.zone//profile?ron_addr=0xb01076b7e89027f41700ffb598626ca068329430,Dusk,Sleepless,Bubblemaker,Croc,Tiny Turtle,Cuckoo,Hare,0
https://axie.zone//profile?ron_addr=0x1ade8278b2de456e104d2e8c16fd194b8a23342f,Aquatic,Gero,Inkling,Anemone,Lam,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0x1ade8278b2de456e104d2e8c16fd194b8a23342f,Bird,Mavis,Owl,Pigeon Post,Little Owl,Eggshell,Hare,0
